zoning_district,parcels,units,land_acres,parcels_w_stories,p10,p25,p50,p75,p90
MF-2,374,2726,83.3,357,2.0,3.0,3.0,3.0,6.0
MU-3,7,1097,26.9,6,3.0,3.0,4.0,4.0,4.0
MF-1,6,929,41.4,6,2.0,2.0,2.0,3.0,3.0
MU-2,5,854,18.6,5,3.0,4.0,4.0,5.0,5.0
MU-1,6,840,23.8,5,3.0,3.0,4.0,4.0,4.0
MF-3,2,635,13.8,2,4.0,4.0,6.0,6.0,6.0
WMU-8,2,560,7.0,2,4.0,4.0,7.0,7.0,7.0
