zcat,1,2-9,10-49,50+,Total
PD,5974,4277,14764,13028,38043
Single-family,11365,767,75,0,12207
Multifamily/Mixed-use,710,2989,2683,6374,12756
Other,9,52,357,395,813
Total,18058,8085,17879,19797,63819
