geoid,mhi,mf_zoned_pct,zoned_acres
48113010101,57847,1.6,947.6
48113010102,68397,0.0,627.9
48113010500,59115,0.0,1736.9
48113010601,63860,0.0,2409.4
48113010602,47024,4.53,1007.6
48113010701,46602,1.97,3625.3
48113010704,32347,6.73,1911.9
48113010804,32437,10.42,688.9
48113010805,35957,1.1,1065.7
48113010806,123203,0.05,1062.6
48113010807,53253,3.17,1040.9
48113010808,49173,26.28,340.7
48113010809,39523,9.32,686.5
48113010903,38047,9.31,983.1
48113010904,51193,3.79,2661.6
48113010905,32574,27.45,176.6
48113010906,52800,6.21,970.1
48113011002,83750,0.0,973.1
48113011003,67188,0.09,853.1
48113011004,62500,15.66,327.7
48113011101,69773,3.17,1725.5
48113011103,47130,0.0,744.3
48113011104,50737,12.52,681.5
48113011105,51726,14.42,532.8
48113011201,64679,5.95,1106.8
48113011202,59774,0.33,1362.1
48113011300,54595,2.51,2607.5
48113011401,39359,8.55,1488.6
48113011500,28559,1.19,5586.6
48113011601,49923,2.18,3572.3
48113011603,79167,0.0,1727.9
48113011604,66891,0.0,1770.3
48113011701,58109,0.98,1672.3
48113011702,56691,0.0,1258.6
48113011801,57321,4.42,532.5
48113011802,47477,2.12,857.4
48113011901,56726,0.18,733.9
48113011902,78717,9.39,497.3
48113012000,37472,11.36,900.4
48113012101,52244,36.14,289.6
48113012102,73333,0.05,730.2
48113012206,117361,2.38,923.5
48113012207,58231,7.23,1759.2
48113012208,32969,18.79,362.2
48113012209,120938,2.74,622.3
48113012210,52821,18.85,408.1
48113012211,37959,15.9,463.1
48113012212,74755,26.19,588.4
48113012213,111250,0.05,472.8
48113012301,60361,6.15,608.7
48113012302,45389,22.04,748.3
48113012400,81923,0.32,1068.9
48113012501,87486,0.0,435.8
48113012502,51563,0.0,602.0
48113012601,64306,7.11,748.1
48113012603,100833,0.0,325.6
48113012604,60470,19.99,852.3
48113012701,62723,1.76,978.7
48113012702,65127,0.0,422.1
48113012801,83887,0.0,550.7
48113012802,106630,1.9,1063.4
48113012900,134848,1.04,1998.1
